time,engine_id,score
2026-05-31 21:40:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.158739
2026-05-31 21:40:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.009116
2026-05-31 21:40:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.021837
2026-05-31 21:45:00,BUY_HL_HGB_090,0.025419
2026-05-31 21:45:00,BUY_LL_HGB_088,0.026753
2026-05-31 21:45:00,BUY_LL_HIGHVOL_RF_085,0.074662
2026-05-31 21:45:00,SELL_label_HH_hgb_09,0.253207
2026-05-31 21:45:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.047424
2026-05-31 21:45:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.188490
2026-05-31 21:45:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005858
2026-05-31 21:45:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.023098
2026-05-31 21:50:00,BUY_HL_HGB_090,0.025250
2026-05-31 21:50:00,BUY_LL_HGB_088,0.020956
2026-05-31 21:50:00,BUY_LL_HIGHVOL_RF_085,0.051373
2026-05-31 21:50:00,SELL_label_HH_hgb_09,0.098568
2026-05-31 21:50:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.060328
2026-05-31 21:50:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.192817
2026-05-31 21:50:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005152
2026-05-31 21:50:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.033194
2026-05-31 21:55:00,BUY_HL_HGB_090,0.027297
2026-05-31 21:55:00,BUY_LL_HGB_088,0.022460
2026-05-31 21:55:00,BUY_LL_HIGHVOL_RF_085,0.073337
2026-05-31 21:55:00,SELL_label_HH_hgb_09,0.060388
2026-05-31 21:55:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.036182
2026-05-31 21:55:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.146074
