time,engine_id,score
2026-03-01 22:35:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.153149
2026-03-01 22:35:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.006901
2026-03-01 22:35:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.047585
2026-03-01 22:40:00,BUY_HL_HGB_090,0.026570
2026-03-01 22:40:00,BUY_LL_HGB_088,0.677347
2026-03-01 22:40:00,BUY_LL_HIGHVOL_RF_085,0.541527
2026-03-01 22:40:00,SELL_label_HH_hgb_09,0.087239
2026-03-01 22:40:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.097648
2026-03-01 22:40:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.057155
2026-03-01 22:40:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.006974
2026-03-01 22:40:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.045106
2026-03-01 22:45:00,BUY_HL_HGB_090,0.024418
2026-03-01 22:45:00,BUY_LL_HGB_088,0.522291
2026-03-01 22:45:00,BUY_LL_HIGHVOL_RF_085,0.415083
2026-03-01 22:45:00,SELL_label_HH_hgb_09,0.022384
2026-03-01 22:45:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.073924
2026-03-01 22:45:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.057651
2026-03-01 22:45:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.006168
2026-03-01 22:45:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.032345
2026-03-01 22:50:00,BUY_HL_HGB_090,0.022961
2026-03-01 22:50:00,BUY_LL_HGB_088,0.366068
2026-03-01 22:50:00,BUY_LL_HIGHVOL_RF_085,0.318000
2026-03-01 22:50:00,SELL_label_HH_hgb_09,0.024965
2026-03-01 22:50:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.080199
2026-03-01 22:50:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.047987
2026-03-01 22:50:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005222
2026-03-01 22:50:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.030771
2026-03-01 22:55:00,BUY_HL_HGB_090,0.018404
2026-03-01 22:55:00,BUY_LL_HGB_088,0.161492
2026-03-01 22:55:00,BUY_LL_HIGHVOL_RF_085,0.226609
2026-03-01 22:55:00,SELL_label_HH_hgb_09,0.016110
2026-03-01 22:55:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.070851
2026-03-01 22:55:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.065044
2026-03-01 22:55:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005590
2026-03-01 22:55:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.029815
2026-03-01 23:00:00,BUY_HL_HGB_090,0.035130
2026-03-01 23:00:00,BUY_LL_HGB_088,0.457275
2026-03-01 23:00:00,BUY_LL_HIGHVOL_RF_085,0.426380
2026-03-01 23:00:00,SELL_label_HH_hgb_09,0.028166
2026-03-01 23:00:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.076477
2026-03-01 23:00:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.068064
2026-03-01 23:00:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.006939
2026-03-01 23:00:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.036169
2026-03-01 23:05:00,BUY_HL_HGB_090,0.020464
2026-03-01 23:05:00,BUY_LL_HGB_088,0.311117
2026-03-01 23:05:00,BUY_LL_HIGHVOL_RF_085,0.404973
2026-03-01 23:05:00,SELL_label_HH_hgb_09,0.020664
2026-03-01 23:05:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.040386
2026-03-01 23:05:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.048012
2026-03-01 23:05:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005941
2026-03-01 23:05:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.018506
2026-03-01 23:10:00,BUY_HL_HGB_090,0.023275
2026-03-01 23:10:00,BUY_LL_HGB_088,0.461985
2026-03-01 23:10:00,BUY_LL_HIGHVOL_RF_085,0.408761
2026-03-01 23:10:00,SELL_label_HH_hgb_09,0.046109
2026-03-01 23:10:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.058882
2026-03-01 23:10:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.144397
2026-03-01 23:10:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.005783
2026-03-01 23:10:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.025434
2026-03-01 23:15:00,BUY_HL_HGB_090,0.021350
2026-03-01 23:15:00,BUY_LL_HGB_088,0.428804
2026-03-01 23:15:00,BUY_LL_HIGHVOL_RF_085,0.379615
2026-03-01 23:15:00,SELL_label_HH_hgb_09,0.028880
2026-03-01 23:15:00,SELL_label_session_vol_HH_LONDON_HIGH_rf_075,0.070436
2026-03-01 23:15:00,SELL_label_trade_context_HH_BEAR_TREND_BREAK_HIGH_extra_07,0.130940
2026-03-01 23:15:00,SELL_label_trade_context_session_HH_BULL_CONTINUATION_HIGH_LONDON_hgb_096,0.032840
2026-03-01 23:15:00,SELL_label_trade_context_session_vol_HH_BULL_CONTINUATION_HIGH_LONDON_HIGH_rf_07,0.035083
2026-03-01 23:20:00,BUY_HL_HGB_090,0.021413
