price,volume
1.1372,461.1
1.13725,461.1
1.1373,461.1
1.13735,461.1
1.1374,461.1
1.13745,683.5166666666667
1.1375,683.5166666666667
1.13755,920.5880952380952
1.1376,1179.9214285714286
1.13765,1179.9214285714286
1.1377,718.8214285714286
1.13775,718.8214285714286
1.1378,718.8214285714286
1.13785,718.8214285714286
1.1379,926.927811550152
1.13795,1063.3722559945963
1.138,1063.3722559945963
1.13805,581.6222559945965
1.1381,581.6222559945965
1.13815,841.3222559945965
1.1382,841.3222559945965
1.13825,604.2508274231678
1.1383,604.2508274231678
1.13835,604.2508274231678
1.1384,467.8063829787234
1.13845,467.8063829787234
1.1385,467.8063829787234
1.13855,467.8063829787234
1.1386,467.8063829787234
1.13865,343.7730496453901
1.1387,343.7730496453901
1.13875,514.8355496453901
1.1388,514.8355496453901
1.13885,514.8355496453901
1.1389,514.8355496453901
1.13895,691.9509342607747
1.139,691.9509342607747
1.13905,691.9509342607747
1.1391,906.2709342607748
1.13915,906.2709342607748
1.1392,1569.0709342607745
1.13925,1569.0709342607745
1.1393,1807.142362832203
1.13935,1807.142362832203
1.1394,1671.4756961655364
1.13945,1008.6756961655367
1.1395,1008.6756961655367
1.13955,837.6131961655367
1.1396,837.6131961655367
1.13965,1107.507933007642
1.1397,1107.507933007642
1.13975,1360.3079330076419
1.1398,1360.3079330076419
1.13985,1360.3079330076419
1.1399,1785.468647293356
1.13995,1785.468647293356
1.14,1691.841663166372
1.14005,1691.841663166372
1.1401,1957.166663166372
1.14015,2071.388885388594
1.1402,2071.388885388594
1.14025,1665.660977443609
1.1403,1665.660977443609
1.14035,1671.6018470088266
1.1404,1671.6018470088266
1.14045,1719.857402564382
1.1405,1719.857402564382
1.14055,1719.857402564382
1.1406,1504.232506992118
1.14065,1504.232506992118
1.1407,1222.357506992118
1.14075,1222.357506992118
1.1408,1512.2986834627063
1.14085,1394.215350129373
1.1409,1394.215350129373
1.14095,1201.5153501293728
1.141,1201.5153501293728
1.14105,889.7375723515952
1.1411,889.7375723515952
1.14115,889.7375723515952
1.1412,775.5270460358056
1.14125,775.5270460358056
1.1413,775.5270460358056
1.14135,775.5270460358056
1.1414,775.5270460358056
1.14145,775.5270460358056
1.1415,781.3661764705882
1.14155,781.3661764705882
1.1416,781.3661764705882
1.14165,491.42499999999995
1.1417,491.42499999999995
1.14175,491.42499999999995
1.1418,491.42499999999995
1.14185,491.42499999999995
1.1419,491.42499999999995
1.14195,491.42499999999995
1.142,265.325
1.14205,265.325
